Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],2000 [YR2000],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Denmark,DNK,72484.035,83046.294,76784.979,79296.696,82945.802,79490.347,92887.163,83193.33,68553.546,69387.745,75002.52631,68854.75541,64816.68547,72755.336,67993.19979,65167.02911,63012.0156546705,63679.0897800674,58416.0447370069,53703.2239270284,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Djibouti,DJI,1821.59311,1920.30307,1767.07926,1790.1536,1825.03911,1914.42352,1915.84389,2018.25084,1969.1694,2019.00941,2094.82443,2115.89772,2160.03724,2149.82654,2432.43131,2518.567,2523.21548727578,2629.83257395005,2701.62250690939,2766.30381501414,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Dominica,DMA,130.666114,130.209383,130.022749,127.385527,138.259049,140.324977,140.930947,132.074561,140.86978,159.091129,162.647925,175.050583,174.603343,191.163414,195.278392,202.798108,203.107461505429,211.314184610682,217.382774399324,222.835577813651,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Dominican Republic,DOM,17001.1508,17837.37014,19815.45404,19630.34268,21226.56948,22043.95752,23333.57392,25012.87426,28492.2016,29253.3232,28367.1271,28493.9958,29247.7907,29635.7214,30393.1473,30646.076,30499.8469375531,31668.7077187034,32578.1585810517,33395.0844298818,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Ecuador,ECU,30859.4911,32029.751,33098.36,33609.924,36622.328,38984.728,41250.815,41388.371,39805.121,42616.27,44122.401,45931.824,47049.334,48495.587,49801.889,47603.308,49448.3280129417,50320.6980317543,51593.6633841968,52746.5726940589,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,"Egypt, Arab Rep.",EGY,139101.6501,141847.456,148268.623,150970.47,146652.195,155524.883,159241.031,165320.704,184459.7407,202779.0124,211890.8016,223361.4238,243789.5327,256320.5954,266252.2745,269736.626,266325.429884229,280255.576563894,288287.828043016,295499.745446082,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,El Salvador,SLV,6685.708201,7558.800082,8044.88808,8323.3196,9025.1887,9244.0507,9079.1212,10076.6089,10344.8258,11242.8073,11251.2782,11578.8968,11528.2484,11690.5465,12085.9588,11979.6733,11911.5614974884,11978.8533908473,12293.6068691146,12577.7897375628,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Equatorial Guinea,GNQ,243.380047,656.363545,1057.039888,1476.239755,1878.04334,1991.990874,2146.816459,2937.211666,4048.32908,4392.64192,4700.1844,5553.97954,5675.88963,5693.14183,5927.13969,5766.37061,5840.52221773663,6099.11390788911,6243.10307072571,6374.17105425022,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Eritrea,ERI,3335.2411,3334.6589,3688.5283,3457.7812,3603.5561,3751.3187,4186.3125,4543.0152,4981.2584,4456.5509,4481.7148,4532.7421,4476.2926,4483.4227,4868.8631,4954.7574,4751.093152378,4844.785693043,4912.88017286787,4977.88803281947,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Estonia,EST,55787.31741,51527.4219,41259.5838,34874.9733,34255.4135,31933.334,32604.2831,32114.2147,17768.8082,22955.3596,19449.73738,20024.42742,20053.5829,19628.3862,23503.7062,21871.9123,18815.60914,22767.1259,24378.846055451,23292.7792109021,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Ethiopia,ETH,67300.580553,63661.39064,68922.40705,65357.9845,65880.9686,69202.104,71509.731,73810.378,183617.668,186749.543,171731.661,175248.634,200010.181,175184.51,189006.75,175266.23,182032.58408693,182771.197854415,184045.876084179,185292.168103158,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Faroe Islands,FRO,51.384864,51.750195,52.119561,52.596633,52.85277,53.128706,53.363348,53.668191,43.94297,44.106747,44.318408,44.58465,44.810187,45.057112,45.353056,45.688811,46.0288441264185,46.5101708393574,47.0270853151734,47.5359335500332,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Fiji,FJI,2328.8648,2172.7677,2001.1226,2100.3313,2084.0727,2182.1965,2222.8921,2217.2037,1574.6846,1806.9992,1931.6877,1810.4797,1836.0699,1945.9711,2097.6959,2123.9629,2336.07495179159,2163.92228733812,2213.24287418135,2258.17305672094,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Finland,FIN,75555.06141,75468.13313,71840.83651,73474.77034,80759.09578,77426.35974,83954.85492,82093.03433,75117.479,83951.8501,95013.026,88571.158,76199.7899,88152.9764,85742.2331,78384.73416,74993.8863442864,84371.5387256094,76124.6255948726,69072.9387223345,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,France,FRA,554685.28,580971.95,564014.19,541094.38,538140.6,543013.14,572529.08,565220.99,559922.199,557850.1275,564607.176,560648.8432,557130.1263,547361.3761,540947.1359,544424.0617,527525.776542167,532133.040360555,502656.654982811,499146.634492193,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,French Polynesia,PYF,1014.46011,970.22494,960.66803,956.92728,758.91542,777.49719,778.38643,821.24715,610.09538,569.91726,654.36042,657.54479,678.19443,653.20842,689.488,717.56322,716.596642090272,754.737560047553,778.586485586382,799.897576604797,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Gabon,GAB,12276.85768,11480.43134,14096.5123,11793.39091,12266.2763,13230.3662,13569.32261,12977.42718,32923.10176,12656.0146,14728.7863,15137.5402,14185.9193,13966.24445,13080.5403,61809.4079,14325.6426511649,34053.552420328,34324.7623145748,34570.626576672,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,"Gambia, The",GMB,1189.5885,1142.19488,1179.6009,1164.03682,1195.51436,1244.1703,1240.7395,1251.1653,2864.9869,3407.835,2438.47282,3115.4536,3001.6,3751.6136,4029.4209,3350.4432,3012.97665945821,3481.57320442381,3505.92445910053,3529.23152956181,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Georgia,GEO,38220.5924,31422.526,27307.6154,23015.2493,16492.9776,13616.2717,12931.4294,12076.9571,11554.305612,20647.4741,9653.4444,10168.475,11190.1678,11840.2366,12884.9934,12282.1374,13250.1200201929,13108.6237650807,14665.8003034717,14627.7492943065,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Germany,DEU,1256074.03,1219016.83,1158796.5,1147631.32,1135937.69,1131718.77,1153137.92,1122917.37,1016295.545,1007404.92744,1017485.97756,1016628.79012,981287.68434,994686.04577,972896.22535,992116.30262,950463.408604366,948006.754235074,929540.263405034,951716.711065489,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Ghana,GHA,29495.582968,24852.77602,28645.7817,27635.0507,27994.319,30510.819,30600.449,31402.41,107699.825,92865.732,108030.308,71082.313,113159.707,104044.725,107333.767,124072.65,104912.635467253,106432.692607526,107126.215493213,107784.294435056,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Gibraltar,GIB,159.451771,219.415677,257.86306,261.326759,305.461607,302.597532,305.73852,318.425797,356.180185,368.847075,384.493309,387.802926,397.694674,413.75552,426.49841,417.566705,417.916276542928,443.482165705333,459.115654966115,473.005729316361,..,..,..,..
